topic,link
Accommodating children in custody,https://www.coventry.gov.uk/directory-record/45593/accommodating-children-in-custody
Accommodating Homeless Young People,https://www.coventry.gov.uk/directory-record/47262/accommodating-homeless-young-people
Accommodating the Homeless,https://www.coventry.gov.uk/directory-record/47743/accommodating-the-homeless
Accommodation and looked after children,https://www.coventry.gov.uk/directory-record/58445/accommodation-and-looked-after-children
Accommodation based adult care centres,https://www.coventry.gov.uk/directory-record/45919/accommodation-based-adult-care-centres
Accommodation for care leavers: REQ02641,https://www.coventry.gov.uk/directory-record/48267/accommodation-for-care-leavers-req02641
Accommodation for care leavers: REQ05343,https://www.coventry.gov.uk/directory-record/45614/accommodation-for-care-leavers-req05343
Accommodation for Homeless People,https://www.coventry.gov.uk/directory-record/45290/accommodation-for-homeless-people
Accommodation payments under Section 17 Children Act 1989.,https://www.coventry.gov.uk/directory-record/44146/accommodation-payments-under-section-17-children-act-1989-
"Accommodation under 'Everyone In', 'Protect' and 'Protect Plus' ",https://www.coventry.gov.uk/directory-record/49039/accommodation-under-everyone-in-protect-and-protect-plus-
Accredited Landlords within your Council,https://www.coventry.gov.uk/directory-record/47484/accredited-landlords-within-your-council
Acid tar lagoons,https://www.coventry.gov.uk/directory-record/49053/acid-tar-lagoons
ACL and the rent of the Ricoh.,https://www.coventry.gov.uk/directory-record/43942/acl-and-the-rent-of-the-ricoh-
"ACL, Coventry City FC and the Ricoh Arena.",https://www.coventry.gov.uk/directory-record/44042/acl-coventry-city-fc-and-the-ricoh-arena-
Action taken by Trading Standards.,https://www.coventry.gov.uk/directory-record/45973/action-taken-by-trading-standards-
Active Case of Children at Risk of Child Sexual Exploitation,https://www.coventry.gov.uk/directory-record/46949/active-case-of-children-at-risk-of-child-sexual-exploitation
Active Register and Number of Disabled Children on Register,https://www.coventry.gov.uk/directory-record/46850/active-register-and-number-of-disabled-children-on-register
Active Travel Funding,https://www.coventry.gov.uk/directory-record/44331/active-travel-funding
Adapting to the current economic climate.,https://www.coventry.gov.uk/directory-record/45444/adapting-to-the-current-economic-climate-
Addendum to Serious Case Review.,https://www.coventry.gov.uk/directory-record/44382/addendum-to-serious-case-review-
Additional Restrictions Grant,https://www.coventry.gov.uk/directory-record/57247/additional-restrictions-grant
Additional School Places 2016-2020,https://www.coventry.gov.uk/directory-record/48000/additional-school-places-2016-2020
Administrative Area of the Authority and Budgetary Information on Spending 2009-2014,https://www.coventry.gov.uk/directory-record/46984/administrative-area-of-the-authority-and-budgetary-information-on-spending-2009-2014
Administrative cost of creating two HMO licences.,https://www.coventry.gov.uk/directory-record/43605/administrative-cost-of-creating-two-hmo-licences-
Admission of Children into School Outside of their Normal Age Group,https://www.coventry.gov.uk/directory-record/46942/admission-of-children-into-school-outside-of-their-normal-age-group
Admission of children outside their normal age group,https://www.coventry.gov.uk/directory-record/47526/admission-of-children-outside-their-normal-age-group
Adopted children between 2009-2017,https://www.coventry.gov.uk/directory-record/43540/adopted-children-between-2009-2017
Adoption Allowance,https://www.coventry.gov.uk/directory-record/48528/adoption-allowance
Adoption breakdowns.,https://www.coventry.gov.uk/directory-record/44041/adoption-breakdowns-
Adoption disruptions,https://www.coventry.gov.uk/directory-record/57908/adoption-disruptions
Adoption letterbox contact,https://www.coventry.gov.uk/directory-record/48568/adoption-letterbox-contact
Adoption of Care Act Easements under Coronavirus Act,https://www.coventry.gov.uk/directory-record/48745/adoption-of-care-act-easements-under-coronavirus-act
Adoption of Roads,https://www.coventry.gov.uk/directory-record/46963/adoption-of-roads
Adoption Performance Management,https://www.coventry.gov.uk/directory-record/47389/adoption-performance-management
Adoption Placements,https://www.coventry.gov.uk/directory-record/45545/adoption-placements
Adoption Services,https://www.coventry.gov.uk/directory-record/58370/adoption-services
Adult & Children Social Care Software,https://www.coventry.gov.uk/directory-record/58453/adult-children-social-care-software
Adult and children's social care budget and spend,https://www.coventry.gov.uk/directory-record/46998/adult-and-children-s-social-care-budget-and-spend
Adult Care - Neurological Conditions,https://www.coventry.gov.uk/directory-record/48620/adult-care-neurological-conditions
Adult care charging and reviews,https://www.coventry.gov.uk/directory-record/57264/adult-care-charging-and-reviews
Adult care service numbers.,https://www.coventry.gov.uk/directory-record/44478/adult-care-service-numbers-
Adult Care Services - commissioners,https://www.coventry.gov.uk/directory-record/47141/adult-care-services-commissioners
Adult Education Services 2020-21,https://www.coventry.gov.uk/directory-record/57769/adult-education-services-2020-21
Adult Education Staff Contracts.,https://www.coventry.gov.uk/directory-record/44754/adult-education-staff-contracts-
Adult Learning Disability & Social Care Manager,https://www.coventry.gov.uk/directory-record/47701/adult-learning-disability-social-care-manager
Adult Learning Disability Services,https://www.coventry.gov.uk/directory-record/57442/adult-learning-disability-services
Adult learning disability services 2015,https://www.coventry.gov.uk/directory-record/47415/adult-learning-disability-services-2015
Adult learning disability services 2020,https://www.coventry.gov.uk/directory-record/48948/adult-learning-disability-services-2020
Adult learning disability services funding.,https://www.coventry.gov.uk/directory-record/46370/adult-learning-disability-services-funding-
Adult Mental Health - Joint S117 Policy,https://www.coventry.gov.uk/directory-record/57332/adult-mental-health-joint-s117-policy
Adult neurological and mental health services,https://www.coventry.gov.uk/directory-record/49081/adult-neurological-and-mental-health-services
Adult Residential Care,https://www.coventry.gov.uk/directory-record/46974/adult-residential-care
Adult Safeguarding,https://www.coventry.gov.uk/directory-record/47082/adult-safeguarding
Adult Safeguarding & Commissioning,https://www.coventry.gov.uk/directory-record/48120/adult-safeguarding-commissioning
Adult Safeguarding Board,https://www.coventry.gov.uk/directory-record/48846/adult-safeguarding-board
Adult Safeguarding Referrals from GPs,https://www.coventry.gov.uk/directory-record/48498/adult-safeguarding-referrals-from-gps
Adult Safeguarding Reviews in respect of Roughsleepers ,https://www.coventry.gov.uk/directory-record/43633/adult-safeguarding-reviews-in-respect-of-roughsleepers-
Adult Safeguarding structure team,https://www.coventry.gov.uk/directory-record/45702/adult-safeguarding-structure-team
Adult Services and Contracts,https://www.coventry.gov.uk/directory-record/47849/adult-services-and-contracts
Adult Social Care,https://www.coventry.gov.uk/directory-record/58340/adult-social-care
Adult Social Care - Care Act,https://www.coventry.gov.uk/directory-record/46814/adult-social-care-care-act
Adult Social Care - December 2015,https://www.coventry.gov.uk/directory-record/47538/adult-social-care-december-2015
Adult Social Care - June 2015,https://www.coventry.gov.uk/directory-record/47055/adult-social-care-june-2015
Adult Social Care - March 2016,https://www.coventry.gov.uk/directory-record/47786/adult-social-care-march-2016
Adult Social Care and Community support,https://www.coventry.gov.uk/directory-record/43472/adult-social-care-and-community-support
Adult Social Care assessments,https://www.coventry.gov.uk/directory-record/59044/adult-social-care-assessments
Adult Social Care Case Management,https://www.coventry.gov.uk/directory-record/46999/adult-social-care-case-management
Adult Social Care Case Management IT System,https://www.coventry.gov.uk/directory-record/48162/adult-social-care-case-management-it-system
Adult Social Care Case Management Software,https://www.coventry.gov.uk/directory-record/48698/adult-social-care-case-management-software
Adult Social Care charges: 20107345,https://www.coventry.gov.uk/directory-record/44973/adult-social-care-charges-20107345
Adult Social Care charges: 20107757,https://www.coventry.gov.uk/directory-record/44974/adult-social-care-charges-20107757
Adult Social Care contacts and contracts.,https://www.coventry.gov.uk/directory-record/44753/adult-social-care-contacts-and-contracts-
Adult Social Care Employees and Accidents,https://www.coventry.gov.uk/directory-record/48415/adult-social-care-employees-and-accidents
Adult social care funding and payments.,https://www.coventry.gov.uk/directory-record/46371/adult-social-care-funding-and-payments-
Adult Social Care in-house services.,https://www.coventry.gov.uk/directory-record/46574/adult-social-care-in-house-services-
Adult Social Care Providers and Contracts,https://www.coventry.gov.uk/directory-record/48023/adult-social-care-providers-and-contracts
Adult Social Care Referrals and Direct Payments,https://www.coventry.gov.uk/directory-record/47085/adult-social-care-referrals-and-direct-payments
Adult Social Care residential services ,https://www.coventry.gov.uk/directory-record/57788/adult-social-care-residential-services-
Adult Social Care Reviews/Reassessments,https://www.coventry.gov.uk/directory-record/45587/adult-social-care-reviews-reassessments
Adult social care senior officers.,https://www.coventry.gov.uk/directory-record/44890/adult-social-care-senior-officers-
Adult social care service cuts.,https://www.coventry.gov.uk/directory-record/44972/adult-social-care-service-cuts-
Adult Social Care Spending,https://www.coventry.gov.uk/directory-record/59067/adult-social-care-spending
Adult Social Care Structure Chart,https://www.coventry.gov.uk/directory-record/43488/adult-social-care-structure-chart
Adult social care universal deferred payment scheme,https://www.coventry.gov.uk/directory-record/47272/adult-social-care-universal-deferred-payment-scheme
Adult's and Children's Social Services,https://www.coventry.gov.uk/directory-record/47708/adult-s-and-children-s-social-services
Adults (18-64) with Learning Disabilities,https://www.coventry.gov.uk/directory-record/46750/adults-18-64-with-learning-disabilities
Adults and Children's Safeguarding.,https://www.coventry.gov.uk/directory-record/44752/adults-and-children-s-safeguarding-
Adults receiving long-term care,https://www.coventry.gov.uk/directory-record/48268/adults-receiving-long-term-care
Adults receiving social care at home,https://www.coventry.gov.uk/directory-record/46733/adults-receiving-social-care-at-home
Adults who have had a stroke/living with heart failure,https://www.coventry.gov.uk/directory-record/46955/adults-who-have-had-a-stroke-living-with-heart-failure
Adults with Learning Difficulties Care Frameworks,https://www.coventry.gov.uk/directory-record/47730/adults-with-learning-difficulties-care-frameworks
Adults with learning disabilities,https://www.coventry.gov.uk/directory-record/45880/adults-with-learning-disabilities
Adults without CRB check in schools,https://www.coventry.gov.uk/directory-record/45898/adults-without-crb-check-in-schools
Adults/Children's Commissioning and IT systems.,https://www.coventry.gov.uk/directory-record/45066/adults-children-s-commissioning-and-it-systems-
Advertising and sponsorship schemes.,https://www.coventry.gov.uk/directory-record/46575/advertising-and-sponsorship-schemes-
Advertising costs,https://www.coventry.gov.uk/directory-record/45704/advertising-costs
Advertising in the Office Journal of the European Union.,https://www.coventry.gov.uk/directory-record/45158/advertising-in-the-office-journal-of-the-european-union-
Advertising signs on roundabouts.,https://www.coventry.gov.uk/directory-record/44381/advertising-signs-on-roundabouts-
Advice services for deaf residents,https://www.coventry.gov.uk/directory-record/48822/advice-services-for-deaf-residents
Advices and enclosures received from the LGA since 2005,https://www.coventry.gov.uk/directory-record/45157/advices-and-enclosures-received-from-the-lga-since-2005
Aerial shot of Woodway Lane/Ansty Road junction for October 2015 roadworks,https://www.coventry.gov.uk/directory-record/48127/aerial-shot-of-woodway-lane-ansty-road-junction-for-october-2015-roadworks
Affordable homes for rent,https://www.coventry.gov.uk/directory-record/44566/affordable-homes-for-rent
Affordable housing - section 106,https://www.coventry.gov.uk/directory-record/46709/affordable-housing-section-106
Affordable housing targets.,https://www.coventry.gov.uk/directory-record/44256/affordable-housing-targets-
Afghan locally employed staff relocation scheme,https://www.coventry.gov.uk/directory-record/49197/afghan-locally-employed-staff-relocation-scheme
"Afghan refugees, asylum seekers",https://www.coventry.gov.uk/directory-record/57475/afghan-refugees-asylum-seekers
Aftercare fees under Section 117,https://www.coventry.gov.uk/directory-record/47631/aftercare-fees-under-section-117
Age assessments on asylum seeking children.,https://www.coventry.gov.uk/directory-record/44040/age-assessments-on-asylum-seeking-children-
Age testing of asylum seekers,https://www.coventry.gov.uk/directory-record/49055/age-testing-of-asylum-seekers
Agency social work staff - Qualified Social Workers,https://www.coventry.gov.uk/directory-record/47266/agency-social-work-staff-qualified-social-workers
Agency social worker spend,https://www.coventry.gov.uk/directory-record/47253/agency-social-worker-spend
Agency Social Workers: 20122668,https://www.coventry.gov.uk/directory-record/43604/agency-social-workers-20122668
Agency Social Workers: 20123314,https://www.coventry.gov.uk/directory-record/45993/agency-social-workers-20123314
Agency Social Workers: REQ00533,https://www.coventry.gov.uk/directory-record/46688/agency-social-workers-req00533
Agency Spend 2015,https://www.coventry.gov.uk/directory-record/48213/agency-spend-2015
Agency spend in schools,https://www.coventry.gov.uk/directory-record/47153/agency-spend-in-schools
Agency spend on Education Staff.,https://www.coventry.gov.uk/directory-record/45990/agency-spend-on-education-staff-
Agency spend: 20120711,https://www.coventry.gov.uk/directory-record/44476/agency-spend-20120711
Agency Spend: REQ00191,https://www.coventry.gov.uk/directory-record/47109/agency-spend-req00191
Agency Spend: REQ00412,https://www.coventry.gov.uk/directory-record/47317/agency-spend-req00412
Agency staff in schools.,https://www.coventry.gov.uk/directory-record/44889/agency-staff-in-schools-
Agency Staff Spend 2011-2017,https://www.coventry.gov.uk/directory-record/43532/agency-staff-spend-2011-2017
Agency staffing cover in schools,https://www.coventry.gov.uk/directory-record/46219/agency-staffing-cover-in-schools
Agency Supply Teacher Spend Academic Year 2014/15,https://www.coventry.gov.uk/directory-record/47697/agency-supply-teacher-spend-academic-year-2014-15
Agency workers & budgets,https://www.coventry.gov.uk/directory-record/48090/agency-workers-budgets
Agency Workers - Allied Health Professionals,https://www.coventry.gov.uk/directory-record/43731/agency-workers-allied-health-professionals
Agency workers through Comensura,https://www.coventry.gov.uk/directory-record/43735/agency-workers-through-comensura
Agency workers through Comensura/Neutral Vendor,https://www.coventry.gov.uk/directory-record/47117/agency-workers-through-comensura-neutral-vendor
Agile methodology.,https://www.coventry.gov.uk/directory-record/43602/agile-methodology-
AI chatbot functionality,https://www.coventry.gov.uk/directory-record/48775/ai-chatbot-functionality
Air Conditioning Assessments,https://www.coventry.gov.uk/directory-record/46451/air-conditioning-assessments
Air conditioning in Council buildings,https://www.coventry.gov.uk/directory-record/49074/air-conditioning-in-council-buildings
Air Freshener Expenditure,https://www.coventry.gov.uk/directory-record/58904/air-freshener-expenditure
Air pollution,https://www.coventry.gov.uk/directory-record/58466/air-pollution
Air Pollution in Coventry,https://www.coventry.gov.uk/directory-record/48444/air-pollution-in-coventry
Air quality diffusion tube data,https://www.coventry.gov.uk/directory-record/44565/air-quality-diffusion-tube-data
Air Quality Management Areas ,https://www.coventry.gov.uk/directory-record/57359/air-quality-management-areas-
Air Quality Management Areas,https://www.coventry.gov.uk/directory-record/46220/air-quality-management-areas
Airport Retail Park camera,https://www.coventry.gov.uk/directory-record/49139/airport-retail-park-camera
Alcohol & Substance Misuse Services,https://www.coventry.gov.uk/directory-record/48395/alcohol-substance-misuse-services
Alcohol detoxification services,https://www.coventry.gov.uk/directory-record/46715/alcohol-detoxification-services
Alcohol licence applications.,https://www.coventry.gov.uk/directory-record/45156/alcohol-licence-applications-
Alcohol Misuse and support,https://www.coventry.gov.uk/directory-record/48624/alcohol-misuse-and-support
Aldermoor Farm Primary School extension: 20122264,https://www.coventry.gov.uk/directory-record/44039/aldermoor-farm-primary-school-extension-20122264
Aldermoor Farm Primary School extension: 20122397,https://www.coventry.gov.uk/directory-record/44038/aldermoor-farm-primary-school-extension-20122397
Allegations of abuse by employees in care homes,https://www.coventry.gov.uk/directory-record/48285/allegations-of-abuse-by-employees-in-care-homes
Allegations of physical or sexual abuse made against nursery and school teaching staff.,https://www.coventry.gov.uk/directory-record/44751/allegations-of-physical-or-sexual-abuse-made-against-nursery-and-school-teaching-staff-
Allegations of racism,https://www.coventry.gov.uk/directory-record/48946/allegations-of-racism
Allesley Hotel,https://www.coventry.gov.uk/directory-record/43751/allesley-hotel
Allocated Budget,https://www.coventry.gov.uk/directory-record/46888/allocated-budget
Allocation of Dedicated Schools Grant (DSG) funding.,https://www.coventry.gov.uk/directory-record/46372/allocation-of-dedicated-schools-grant-dsg-funding-
Allocation of Finham Park school places,https://www.coventry.gov.uk/directory-record/49061/allocation-of-finham-park-school-places
Allocation of School Places and Dishonest Applications,https://www.coventry.gov.uk/directory-record/47421/allocation-of-school-places-and-dishonest-applications
Allotment lease details.,https://www.coventry.gov.uk/directory-record/44255/allotment-lease-details-
Allotment sites,https://www.coventry.gov.uk/directory-record/49129/allotment-sites
Allotments ,https://www.coventry.gov.uk/directory-record/49148/allotments-
Allotments and bonfires,https://www.coventry.gov.uk/directory-record/49199/allotments-and-bonfires
Allotments.,https://www.coventry.gov.uk/directory-record/45065/allotments-
Allowances and expenses to all councillors,https://www.coventry.gov.uk/directory-record/43838/allowances-and-expenses-to-all-councillors
"Alterations to roads, footways and footpaths.",https://www.coventry.gov.uk/directory-record/44037/alterations-to-roads-footways-and-footpaths-
Alternative education providers,https://www.coventry.gov.uk/directory-record/49001/alternative-education-providers
Amateur Radio Aerial applications,https://www.coventry.gov.uk/directory-record/48308/amateur-radio-aerial-applications
Amazon warehouse transport conditions,https://www.coventry.gov.uk/directory-record/48881/amazon-warehouse-transport-conditions
AMHP powers to enter property.,https://www.coventry.gov.uk/directory-record/45445/amhp-powers-to-enter-property-
Amount raised through right to buy sales.,https://www.coventry.gov.uk/directory-record/44036/amount-raised-through-right-to-buy-sales-
Amounts food waste processed.,https://www.coventry.gov.uk/directory-record/46373/amounts-food-waste-processed-
Amounts paid by each school in your local authority directly on supply cover,https://www.coventry.gov.uk/directory-record/47183/amounts-paid-by-each-school-in-your-local-authority-directly-on-supply-cover
"Analysis, Reporting and Data Quality Practices",https://www.coventry.gov.uk/directory-record/47105/analysis-reporting-and-data-quality-practices
Animal Boarding,https://www.coventry.gov.uk/directory-record/48122/animal-boarding
Animal Boarding Establishments Licensing: REQ01681,https://www.coventry.gov.uk/directory-record/48292/animal-boarding-establishments-licensing-req01681
Animal Boarding Establishments Licensing: REQ03554,https://www.coventry.gov.uk/directory-record/43508/animal-boarding-establishments-licensing-req03554
Animal boarding establishments.,https://www.coventry.gov.uk/directory-record/45064/animal-boarding-establishments-
Animal Boarding Services: 20123934,https://www.coventry.gov.uk/directory-record/46934/animal-boarding-services-20123934
Animal Boarding Services: REQ02517,https://www.coventry.gov.uk/directory-record/48499/animal-boarding-services-req02517
Animal health and welfare legislation from 2017,https://www.coventry.gov.uk/directory-record/45314/animal-health-and-welfare-legislation-from-2017
Animal Welfare Act 2006 enforcement,https://www.coventry.gov.uk/directory-record/49103/animal-welfare-act-2006-enforcement
Animal Welfare Enforcement,https://www.coventry.gov.uk/directory-record/48468/animal-welfare-enforcement
Animal Welfare Inspectors,https://www.coventry.gov.uk/directory-record/48865/animal-welfare-inspectors
Annual gym membership costs,https://www.coventry.gov.uk/directory-record/44145/annual-gym-membership-costs
Annual meeting and mayor-making ceremony costs,https://www.coventry.gov.uk/directory-record/57914/annual-meeting-and-mayor-making-ceremony-costs
Annual parking reports,https://www.coventry.gov.uk/directory-record/45636/annual-parking-reports
Annual plan for grass cutting.,https://www.coventry.gov.uk/directory-record/46289/annual-plan-for-grass-cutting-
Annual potholes figures.,https://www.coventry.gov.uk/directory-record/44035/annual-potholes-figures-
Annual temporary workforce spend,https://www.coventry.gov.uk/directory-record/44477/annual-temporary-workforce-spend
Annualised costs Adults and Children's social workers,https://www.coventry.gov.uk/directory-record/45870/annualised-costs-adults-and-children-s-social-workers
Anonymous CVs ,https://www.coventry.gov.uk/directory-record/48715/anonymous-cvs-
Anti Social Behaviour Policy and Fraud Policy,https://www.coventry.gov.uk/directory-record/49105/anti-social-behaviour-policy-and-fraud-policy
Anti-bullying / Dignity at Work,https://www.coventry.gov.uk/directory-record/47572/anti-bullying-dignity-at-work
Anti-radicalisation software used to monitor students' internet use,https://www.coventry.gov.uk/directory-record/48174/anti-radicalisation-software-used-to-monitor-students-internet-use
Anti-social behaviour ,https://www.coventry.gov.uk/directory-record/57656/anti-social-behaviour-
Anti-Social Behaviour and Community Safety contact,https://www.coventry.gov.uk/directory-record/46374/anti-social-behaviour-and-community-safety-contact
Anti-social behaviour.,https://www.coventry.gov.uk/directory-record/45155/anti-social-behaviour-
Antisemitism and Code of Conduct,https://www.coventry.gov.uk/directory-record/45336/antisemitism-and-code-of-conduct
Any Ltd co or PLC that will be moving into the authority area.,https://www.coventry.gov.uk/directory-record/44750/any-ltd-co-or-plc-that-will-be-moving-into-the-authority-area-
Apocalyptic plans and parameters,https://www.coventry.gov.uk/directory-record/47148/apocalyptic-plans-and-parameters
Appeals for school places in 2014.,https://www.coventry.gov.uk/directory-record/44188/appeals-for-school-places-in-2014-
Appeals made to the First Tier Tribunal (SEND).,https://www.coventry.gov.uk/directory-record/44564/appeals-made-to-the-first-tier-tribunal-send-
Applicants for advertised jobs,https://www.coventry.gov.uk/directory-record/44657/applicants-for-advertised-jobs
Applicants with previous offences for jobs in schools.,https://www.coventry.gov.uk/directory-record/46105/applicants-with-previous-offences-for-jobs-in-schools-
Application for WATOK and WATEO,https://www.coventry.gov.uk/directory-record/57489/application-for-watok-and-wateo
Applications and usage of Household Support Fund,https://www.coventry.gov.uk/directory-record/59062/applications-and-usage-of-household-support-fund
Applications for a new Sports Stadium,https://www.coventry.gov.uk/directory-record/48282/applications-for-a-new-sports-stadium
Applications for Adoption,https://www.coventry.gov.uk/directory-record/48379/applications-for-adoption
Applications for Council Housing,https://www.coventry.gov.uk/directory-record/46811/applications-for-council-housing
Applications for dropped kerbs.,https://www.coventry.gov.uk/directory-record/46221/applications-for-dropped-kerbs-
Applications for employment,https://www.coventry.gov.uk/directory-record/45063/applications-for-employment
Applications for home extensions,https://www.coventry.gov.uk/directory-record/44475/applications-for-home-extensions
Applications for pest control.,https://www.coventry.gov.uk/directory-record/46576/applications-for-pest-control-
Applications for places at primary and secondary schools,https://www.coventry.gov.uk/directory-record/46996/applications-for-places-at-primary-and-secondary-schools
Applications for school places.,https://www.coventry.gov.uk/directory-record/44034/applications-for-school-places-
Applications for support with the cost of school uniform.,https://www.coventry.gov.uk/directory-record/46452/applications-for-support-with-the-cost-of-school-uniform-
Applications for the conversion of office space into residential accommodation.,https://www.coventry.gov.uk/directory-record/45841/applications-for-the-conversion-of-office-space-into-residential-accommodation-
Applications for wheelchair accessible housing.,https://www.coventry.gov.uk/directory-record/46106/applications-for-wheelchair-accessible-housing-
Applications made to the Court for forfeiture of leases,https://www.coventry.gov.uk/directory-record/47864/applications-made-to-the-court-for-forfeiture-of-leases
Applications to convert offices to residential,https://www.coventry.gov.uk/directory-record/44254/applications-to-convert-offices-to-residential
Applications to register a place of worship for past 10 years,https://www.coventry.gov.uk/directory-record/47884/applications-to-register-a-place-of-worship-for-past-10-years
Applications to the Secretary of State for the disposal of allotment sites,https://www.coventry.gov.uk/directory-record/43603/applications-to-the-secretary-of-state-for-the-disposal-of-allotment-sites
Applied Behavioural Analysis,https://www.coventry.gov.uk/directory-record/47800/applied-behavioural-analysis
Applied Behavioural Analysis provision,https://www.coventry.gov.uk/directory-record/45853/applied-behavioural-analysis-provision
Apprenticeship Levy,https://www.coventry.gov.uk/directory-record/58923/apprenticeship-levy
Apprenticeship Levy,https://www.coventry.gov.uk/directory-record/43688/apprenticeship-levy
Apprenticeships,https://www.coventry.gov.uk/directory-record/44827/apprenticeships
Apprenticeships and Government Funding,https://www.coventry.gov.uk/directory-record/47522/apprenticeships-and-government-funding
Approval of premises for civil marriage and civil partnerships,https://www.coventry.gov.uk/directory-record/49162/approval-of-premises-for-civil-marriage-and-civil-partnerships
Approved hotels and B & Bs,https://www.coventry.gov.uk/directory-record/43761/approved-hotels-and-b-bs
Approved housing developments,https://www.coventry.gov.uk/directory-record/43464/approved-housing-developments
Approved Mental Health Professionals.,https://www.coventry.gov.uk/directory-record/45230/approved-mental-health-professionals-
Approved Wedding Premises,https://www.coventry.gov.uk/directory-record/43899/approved-wedding-premises
AppyParking Proposal,https://www.coventry.gov.uk/directory-record/43931/appyparking-proposal
Arboriculture and Grounds Maintenance contracts.,https://www.coventry.gov.uk/directory-record/44749/arboriculture-and-grounds-maintenance-contracts-
Arboriculture Contracts,https://www.coventry.gov.uk/directory-record/48585/arboriculture-contracts
Areas scheduled for development,https://www.coventry.gov.uk/directory-record/48486/areas-scheduled-for-development
Armed Forces Compensation Scheme,https://www.coventry.gov.uk/directory-record/58463/armed-forces-compensation-scheme
Armed Forces Covenant,https://www.coventry.gov.uk/directory-record/47130/armed-forces-covenant
Art and antiques thefts.,https://www.coventry.gov.uk/directory-record/44144/art-and-antiques-thefts-
Art Gallery or Museums,https://www.coventry.gov.uk/directory-record/44869/art-gallery-or-museums
